MB_IPB_VehLongAccel,MB_IPB_VehLateralAccel,MB_IPB_YAWRate,Monr_AI_f32_SteerAgFA_rad,Monr_AI_f32_RoadSteerAgRA_rad,Monr_AI_f32_VehSpdLgtEstim_mps,Monr_AI_b_ABSActv_flg,Monr_AI_b_TCSActv_flg,Monr_AI_b_VDCActv_flg,VelForward
1.6767,-2.8727,-0.4494,0.0319,-0.0552,14.9785,0,0,0,11.5798
-1.3579,-1.9414,0.0067,-0.2517,-0.1119,14.8893,0,1,0,6.9289
-0.2177,-2.7825,-0.4919,0.2872,0.1638,25.5189,1,0,0,18.0415
1.8481,0.1313,-0.3763,-0.6419,-0.2630,27.1601,0,1,0,25.5020
2.2385,-0.9234,-0.4211,-0.6631,-0.3219,34.7024,0,0,0,31.3797
-0.9728,1.1852,-0.4276,-0.6377,-0.2023,24.6047,1,0,0,17.4354
-1.4709,-3.8940,-0.1618,-0.3256,-0.2002,32.2906,1,0,1,16.3393
0.0743,0.1080,-0.0005,-0.6875,-0.1748,5.4901,1,1,0,1.7963
3.3946,3.4318,-0.0466,-0.1745,-0.0378,6.6889,0,0,0,10.1148
0.7266,-0.7944,-0.2432,0.5702,0.2169,32.9340,1,0,0,28.4939
1.9749,-2.7011,-0.4762,-0.0670,-0.0568,34.4922,0,0,0,29.1715
0.5899,3.8962,0.3195,0.2409,0.1273,16.0000,0,0,0,6.5657
-0.5821,3.4325,-0.5674,-0.3924,-0.1842,6.4623,0,0,0,0.2993
3.9544,-3.0289,-0.4727,-0.2502,-0.1228,33.5438,0,1,1,28.1366
3.2713,-2.0954,0.5115,0.4834,0.1251,25.7231,0,0,0,26.2864
-1.7187,-3.7633,-0.3230,0.6068,0.3099,34.7022,0,0,0,27.9075
0.9199,0.4497,0.2550,-0.5293,-0.1656,19.8749,0,0,0,19.2296
0.2455,0.3441,0.5373,0.4345,0.0777,9.0787,1,0,0,3.5853
-0.1720,0.7264,-0.1200,-0.5251,-0.1016,41.6282,0,0,0,37.4525
1.3115,3.5395,0.3868,0.3462,0.0773,17.9080,0,0,0,10.3015
1.6509,-2.4835,-0.2674,-0.3801,-0.0663,29.3210,0,0,0,23.9531
2.4516,3.6269,0.5317,-0.0467,0.0618,41.8293,0,0,0,36.3376
0.5063,1.6664,-0.4668,0.4284,0.1195,24.8062,0,0,0,17.8480
1.0722,-2.4116,0.5217,-0.6268,-0.3082,13.1488,0,0,0,4.2493
3.1744,-0.2397,-0.1590,-0.0647,0.0300,30.1775,0,0,0,31.9204
-1.7155,3.5045,0.1117,0.1580,0.0327,41.3327,1,0,0,27.1844
3.4354,3.0513,0.4688,-0.6769,-0.2772,27.0492,1,0,0,28.5388
1.5887,3.8773,-0.2446,0.6168,0.2663,6.1730,0,0,1,-3.9370
0.6531,-1.0803,-0.1873,-0.3941,-0.1169,29.4597,0,0,0,24.3036
-2.0486,2.7404,-0.2510,0.6705,0.2049,5.0248,0,0,0,-8.5016
1.5076,-3.1317,0.5338,-0.4477,-0.1255,12.5559,0,0,0,4.0230
1.3072,-0.6297,-0.0858,-0.4265,-0.0912,26.0667,0,0,0,24.7300
3.8232,1.5737,-0.3293,-0.2641,-0.0843,35.8931,0,0,0,37.5966
0.1606,3.9185,0.0022,0.5032,0.0844,20.7068,0,0,0,10.1338
-2.9873,3.6242,-0.0465,-0.2674,-0.0968,32.1558,0,1,0,21.6421
0.2418,3.2574,0.5276,0.0011,-0.0579,40.9949,0,0,0,31.9424
0.5354,-1.4032,-0.5241,-0.5473,-0.1106,28.7695,0,0,0,20.7035
-2.0604,-1.0089,-0.4687,-0.6929,-0.2119,5.8252,0,0,0,-3.4277
-0.2073,0.7861,-0.4454,0.4093,0.1009,25.6850,1,1,0,15.5987
0.7127,2.2938,0.0286,0.3079,0.1880,30.7339,0,0,0,25.7427
2.5660,2.7594,0.5298,0.4357,0.1850,8.3908,0,0,0,2.7373
1.9827,3.7305,0.3676,0.4397,0.1427,39.4582,0,0,0,29.4016
1.0273,3.3475,0.5017,-0.6162,-0.1463,18.2055,0,0,1,16.3172
-2.0767,3.0655,0.0149,0.6558,0.1356,26.0535,0,0,0,11.4642
2.2263,-3.0750,-0.4162,-0.0500,-0.0410,26.4348,0,0,0,22.8700
0.3703,0.9516,0.0380,-0.6386,-0.2668,38.3151,0,0,0,35.8047
-1.3258,-0.7347,0.3969,0.5211,0.0934,36.4881,0,0,0,29.5357
-1.2495,3.0247,-0.4305,0.1700,0.0822,22.4688,0,0,0,10.9306
-0.4303,-2.8777,-0.4638,-0.5469,-0.1926,24.4922,0,0,0,11.4795
1.3905,2.2004,-0.1761,0.4402,0.2461,17.8613,0,0,0,13.2192
-2.2291,-2.8600,0.5117,-0.1593,-0.0069,27.9286,0,0,0,14.8905
-2.2199,-0.2157,-0.3551,0.2544,0.1786,8.7576,0,0,0,1.8921
0.3395,3.8836,-0.4165,0.1813,0.0160,23.0513,0,0,0,12.9982
-1.7763,-0.1252,-0.5468,-0.5265,-0.2498,13.5351,0,0,0,6.3031
-2.7533,-0.4694,-0.5540,0.5058,0.0855,10.8585,0,0,0,2.3416
-2.6934,0.5083,0.4835,0.5147,0.0955,9.7381,0,0,0,-0.3459
-2.4503,-2.7926,-0.3013,-0.4832,-0.1394,28.8297,0,1,0,13.2516
3.1948,0.5388,-0.1724,-0.0179,-0.0049,6.3584,0,0,0,9.3701
3.3287,2.8266,-0.0475,0.4203,0.0934,28.2282,0,0,1,23.6930
-1.3549,3.3361,0.1244,-0.5661,-0.1357,38.6041,0,0,0,33.0577
2.0780,-0.0742,-0.4051,-0.4999,-0.0797,23.1053,0,0,0,21.6614
-1.7567,1.5840,0.2519,-0.6788,-0.2645,13.5578,0,0,0,7.8980
-2.6805,-1.9832,-0.5605,-0.0543,-0.0213,41.7826,0,0,0,28.0076
2.9031,-3.4917,-0.5050,-0.4597,-0.1843,20.7082,0,0,0,13.9618
-0.1715,-2.6735,0.3787,-0.6910,-0.1678,25.4069,0,0,0,13.5581
-1.6434,1.9500,0.5522,-0.4552,-0.1854,22.9864,0,0,0,14.0747
0.5896,3.5721,0.2888,0.3342,0.0565,9.3346,0,0,0,1.8443
0.7402,-1.0159,0.1497,-0.4644,-0.1358,38.4336,0,1,0,33.1659
2.3259,-0.9989,0.0363,-0.5770,-0.2162,8.7832,0,0,0,10.2227
3.6890,3.9173,0.1957,0.4421,0.1032,22.3872,0,1,0,16.9073
3.4273,1.3509,0.5476,0.3900,0.0470,36.1901,0,0,0,33.4118
-2.7421,-0.5493,-0.4676,0.2842,0.0490,10.2311,0,0,0,0.7984
-2.9249,1.7161,0.2837,0.3115,0.2083,25.6971,0,0,0,12.9857
0.1830,-1.1230,-0.3389,0.4686,0.0706,8.4953,0,0,1,5.0113
3.8637,-1.5086,-0.1643,-0.2633,-0.0176,24.9205,0,0,0,25.6502
-2.7109,2.1786,0.3199,0.2953,0.1524,12.7397,0,0,0,0.9940
-2.2241,-1.5193,0.4390,-0.1886,-0.1590,30.7344,0,0,0,18.7279
2.0323,1.3164,0.1412,0.2836,0.0228,31.5736,0,0,0,29.4698
1.6573,1.9994,-0.3113,0.4501,0.0845,30.9307,0,0,1,24.4399
-1.8834,-2.5211,0.5633,0.0379,0.0126,30.4766,0,0,0,18.2373
-0.8269,0.8296,-0.2517,-0.1219,-0.0655,19.3165,0,1,0,12.2765
2.9655,0.0643,-0.1389,-0.2657,-0.0245,18.7149,1,1,0,18.7573
-2.4106,1.6572,-0.3763,0.4763,0.2659,25.2932,0,1,0,11.7712
-1.2239,-1.1702,-0.4228,0.2156,0.0078,7.3417,0,0,0,1.7456
0.6941,0.2319,0.4958,-0.6398,-0.1285,29.7564,0,0,0,25.1688
1.2065,-0.7906,0.3205,0.5935,0.1300,27.9252,0,0,0,26.7588
1.7715,-3.4877,0.4300,-0.4950,-0.1148,23.9428,0,0,0,15.1062
3.3088,-2.0648,0.1303,-0.0382,0.0516,26.0980,0,0,0,26.4744
2.1342,-3.7132,-0.1124,-0.6023,-0.1416,37.3971,0,0,0,28.2138
1.5105,-3.9231,-0.1074,0.1178,-0.0435,22.6202,0,0,0,19.6450
-0.9622,-3.4376,0.0129,0.5644,0.1445,18.6428,0,0,1,15.0072
2.6654,-1.8093,0.1046,-0.5983,-0.2858,29.5401,0,0,0,27.4624
3.3832,-2.9069,-0.3748,0.1263,-0.0284,38.8827,0,1,0,35.9751
3.1917,-3.7825,0.4714,-0.1624,-0.1462,30.1996,0,0,0,25.0443
-2.5801,-1.6624,-0.4502,0.6809,0.2881,19.0801,0,0,0,10.9854
2.6420,3.0572,-0.0403,-0.2651,-0.0794,10.8703,0,0,0,12.8455
0.6936,2.1445,0.4776,0.3324,0.1507,34.7216,0,0,1,24.8850
-2.1554,-2.7644,0.5441,0.4385,0.2295,28.5478,1,0,0,17.8143
0.2847,-0.0521,0.0703,0.6523,0.2394,5.0905,0,0,0,5.4363
2.4638,0.8370,0.2843,-0.0111,0.0880,16.0933,0,0,0,17.3835
3.9270,-2.2464,-0.2178,-0.6848,-0.2777,29.7591,0,0,0,27.6927
-2.0010,1.4501,-0.5048,-0.6999,-0.1702,6.2986,0,0,0,0.2754
-1.4503,2.3900,-0.1366,-0.5312,-0.1510,24.6093,0,0,0,19.7693
-1.4218,0.9949,0.4640,0.5241,0.2388,14.5018,0,0,0,6.2989
-2.4844,3.2605,-0.4183,0.5176,0.2324,8.7726,0,0,0,-5.8672
-2.4229,-0.3027,-0.3536,0.2035,0.1203,12.2510,0,0,0,5.0733
-1.3620,-0.2610,0.3592,0.4799,0.2123,24.6971,0,0,0,18.3258
3.0143,1.2939,-0.2688,-0.3105,-0.0895,16.9256,0,0,0,19.0454
3.9349,1.4459,0.4117,0.6000,0.2111,34.0050,0,0,0,32.3625
-0.0807,3.8165,-0.3463,0.5072,0.2115,28.0386,0,0,0,14.3087
-0.8674,-1.4369,0.0161,0.6924,0.1555,20.9868,0,0,1,17.0477
0.8046,-1.4677,0.4001,0.3655,0.1886,26.0243,0,0,0,23.3967
-2.3047,0.4268,-0.5087,0.1925,0.0087,38.5209,0,0,0,28.3547
-1.5605,-1.2910,-0.1577,-0.5226,-0.2288,30.4724,0,0,0,20.5759
1.0396,-0.0649,-0.3702,0.2762,0.0051,8.8190,0,0,1,5.8218
3.8736,-2.1009,0.5657,-0.4349,-0.2245,33.5498,0,0,0,29.4345
3.7925,2.1804,-0.2175,-0.6155,-0.2702,12.7858,0,0,0,17.5191
-0.2982,2.2069,-0.5901,-0.3466,-0.1450,28.0829,0,0,0,20.5371
2.1697,-3.9996,-0.1746,-0.0115,-0.1025,41.7934,0,0,0,36.8288
-0.0180,-1.6689,-0.5273,0.2500,0.0104,35.5725,0,0,0,29.2362
-1.9322,-0.5050,0.5517,0.5970,0.2551,12.8312,0,0,0,5.2342
-0.2737,2.9243,-0.2631,0.2544,0.0781,41.8716,0,0,1,29.7611
2.8637,2.1496,0.2621,0.6598,0.2723,8.5941,0,0,0,5.8432
0.0401,-2.1544,0.4890,0.3608,0.2170,16.4627,1,0,0,10.6615
2.1739,1.1859,-0.1543,-0.0597,-0.0950,26.2972,1,0,0,23.8767
-0.2948,-1.2302,-0.5062,-0.4011,-0.0404,19.5860,0,0,0,12.1316
0.4358,3.1954,0.0972,-0.3767,-0.2125,11.0337,0,0,0,9.1560
3.5101,3.9205,-0.5212,-0.3477,-0.1180,12.1987,0,0,0,12.8074
-2.4124,-1.3093,-0.4842,0.6913,0.1801,8.3468,0,0,0,1.2755
1.0825,-3.5856,-0.3500,-0.5247,-0.2215,36.9089,1,0,0,24.4990
1.2170,-0.0993,0.1811,-0.5748,-0.2584,20.0628,0,0,0,19.8123
3.9056,-0.3413,-0.4236,-0.5973,-0.1986,10.8709,0,0,1,11.5388
-2.9562,-1.8876,0.3182,-0.4785,-0.1554,38.3719,0,0,0,24.1142
-2.1445,-1.9449,0.4806,0.5187,0.1903,27.6615,0,1,0,18.3573
2.6528,-1.3922,0.5989,0.6266,0.2360,9.7832,0,0,0,10.1942
-2.7424,-0.1596,-0.4800,-0.2071,0.0204,17.8584,0,0,0,8.0956
1.3028,-1.2797,0.4625,-0.6776,-0.1995,32.7259,0,0,0,26.9184
0.2833,2.3667,0.3690,-0.3551,-0.1841,30.8507,0,0,0,25.9874
3.8139,1.1735,-0.1592,0.3992,0.1681,29.4021,0,0,0,30.0735
3.1173,-2.4576,-0.0262,-0.0788,-0.0917,22.7651,0,0,0,23.7960
0.9830,1.0262,0.1267,0.1644,0.0949,14.1564,0,0,0,12.1546
-2.4863,3.2390,0.5012,-0.5681,-0.2263,41.7838,0,0,0,31.0853
1.0089,-3.9324,-0.1551,-0.2465,-0.1699,15.4974,0,0,1,7.5650
-1.3219,-1.7444,0.0698,0.3098,0.1816,18.1149,1,0,1,10.1877
3.7874,-1.5732,-0.1231,0.1698,-0.0142,41.8231,0,0,1,41.7048
0.4636,-1.2781,0.1309,-0.4012,-0.1842,26.3009,0,0,0,21.4664
3.4632,-1.5299,0.3439,-0.1156,-0.1315,35.0747,0,0,0,33.5596
3.4881,-2.2177,-0.5974,0.6619,0.1469,15.2355,0,0,0,17.1746
-2.9919,3.4692,-0.2609,0.4978,0.1220,39.1809,0,0,0,20.8226
-2.3866,2.0759,-0.3428,0.2624,0.0874,30.1129,0,0,0,17.5051
1.3561,-3.3705,-0.4135,-0.6107,-0.2568,15.3367,0,0,0,4.6411
3.6468,0.0640,-0.4922,-0.1080,-0.0559,42.6076,1,0,0,40.5885
-2.1698,-3.9837,0.3073,0.5928,0.2934,11.3604,1,0,0,4.2524
2.2681,1.0481,-0.3925,0.4916,0.1701,40.0538,0,0,0,36.9348
0.9300,-3.7081,-0.3509,-0.0998,-0.0638,27.0260,0,0,0,19.4468
1.4427,0.6862,0.3616,-0.0962,-0.0892,28.5700,0,0,0,25.5027
-1.1553,-3.8131,-0.4303,0.3103,0.0604,17.1040,0,0,0,9.6986
-1.5196,2.4595,-0.1681,-0.4033,-0.1244,8.1201,0,0,0,3.1618
0.4840,-2.2637,-0.5558,-0.6905,-0.1855,11.3387,0,0,0,2.3188
1.1991,0.3693,-0.4983,-0.0645,0.0181,25.4464,0,0,0,21.4893
-1.2879,-0.5523,0.4309,0.4071,0.0978,36.4351,0,0,0,27.9727
2.7808,3.9621,0.1970,0.3975,0.1630,6.7669,0,0,0,1.2585
0.4219,0.7472,0.1316,-0.6130,-0.1371,30.2822,0,0,0,27.3801
-1.6909,-1.5324,-0.4109,0.0431,-0.0638,7.5363,0,0,0,0.6233
3.5867,-2.0776,0.4730,-0.0153,-0.0965,27.9750,0,0,0,27.2444
0.8608,2.0837,0.0542,-0.5915,-0.1974,29.7452,0,0,0,29.4338
-2.2683,-1.4414,-0.5032,0.4225,0.2385,24.6602,0,0,0,15.5452
1.8199,1.9237,-0.1146,0.6821,0.1690,14.4449,0,0,1,8.9644
2.4835,-0.6248,-0.5141,0.4929,0.1713,21.2090,0,1,0,19.7766
-1.2819,0.4879,-0.1890,-0.5337,-0.1170,28.6033,0,1,0,21.9051
2.3688,1.9882,0.1470,-0.3055,-0.0133,35.8211,0,0,0,35.2876
3.6634,1.6057,0.3350,0.1693,0.1249,30.9398,0,0,0,30.6721
2.2787,2.0603,-0.4190,-0.3864,-0.1738,9.8478,0,0,0,10.3404
-2.3777,0.8552,0.1014,-0.0130,-0.0014,6.3237,0,0,0,0.3084
-2.5059,-2.3573,-0.4154,0.2561,0.0901,25.6998,0,0,0,14.9628
-0.3899,3.4484,0.3418,-0.6864,-0.1857,5.3584,0,0,0,4.6101
-0.1082,-3.4384,-0.0963,-0.1454,-0.1087,18.1106,0,0,1,10.0766
3.1824,-0.3322,-0.1863,0.1742,0.0521,25.8529,0,0,0,28.5885
