group,O1_x,O1_y,O1_z,O2_x,O2_y,O2_z,O3_x,O3_y,O3_z,O4_x,O4_y,O4_z,S1_x,S1_y,S1_z,S2_x,S2_y,S2_z,U1_x,U1_y,U1_z,U2_x,U2_y,U2_z,U3_x,U3_y,U3_z,U4_x,U4_y,U4_z,R0_x,R0_y,R0_z,wc_stroke,toe,camber,caster,caster_arm,scrub_radius,tire_con_point_x,tire_con_point_y,tire_con_point_z
0,4285.9,-412.83,1083.9,4343.1,-724.73,1080.4,4612.5,-349.46,1078.2,4441.4,-687.81,1116.3,4299.6,-474.86,920.25,4300.9,-744.97,925.41,4254.6,-409.07,852.3,4369.4,-727.88,799.83,4687.5,-297.81,882.36,4548,-741.41,916.22,4421.6,-825.1,972.28,-50,-0.1298,-0.97522,-2.64,-10.249,-71.829,4408.1,-827.57,569.48
0,4285.9,-412.83,1083.9,4343.1,-724.73,1080.4,4612.5,-349.46,1078.2,4441.4,-687.81,1116.3,4299.6,-474.86,920.25,4300.9,-744.97,925.41,4254.6,-409.07,852.3,4369.4,-727.88,799.83,4687.5,-297.81,882.36,4548,-741.41,916.22,4421.6,-825.1,972.28,-49,-0.12651,-0.98623,-2.6449,-10.344,-71.264,4408.4,-827.78,570.48
0,4285.9,-412.83,1083.9,4343.1,-724.73,1080.4,4612.5,-349.46,1078.2,4441.4,-687.81,1116.3,4299.6,-474.86,920.25,4300.9,-744.97,925.41,4254.6,-409.07,852.3,4369.4,-727.88,799.83,4687.5,-297.81,882.36,4548,-741.41,916.22,4421.6,-825.1,972.28,-48,-0.12308,-0.99714,-2.6497,-10.437,-70.702,4408.7,-827.99,571.48
0,4285.9,-412.83,1083.9,4343.1,-724.73,1080.4,4612.5,-349.46,1078.2,4441.4,-687.81,1116.3,4299.6,-474.86,920.25,4300.9,-744.97,925.41,4254.6,-409.07,852.3,4369.4,-727.88,799.83,4687.5,-297.81,882.36,4548,-741.41,916.22,4421.6,-825.1,972.28,-47,-0.11952,-1.0079,-2.6545,-10.529,-70.142,4408.9,-828.19,572.48
0,4285.9,-412.83,1083.9,4343.1,-724.73,1080.4,4612.5,-349.46,1078.2,4441.4,-687.81,1116.3,4299.6,-474.86,920.25,4300.9,-744.97,925.41,4254.6,-409.07,852.3,4369.4,-727.88,799.83,4687.5,-297.81,882.36,4548,-741.41,916.22,4421.6,-825.1,972.28,-46,-0.11583,-1.0187,-2.6591,-10.62,-69.585,4409.2,-828.39,573.48
0,4285.9,-412.83,1083.9,4343.1,-724.73,1080.4,4612.5,-349.46,1078.2,4441.4,-687.81,1116.3,4299.6,-474.86,920.25,4300.9,-744.97,925.41,4254.6,-409.07,852.3,4369.4,-727.88,799.83,4687.5,-297.81,882.36,4548,-741.41,916.22,4421.6,-825.1,972.28,-45,-0.112,-1.0293,-2.6638,-10.709,-69.03,4409.5,-828.59,574.49
0,4285.9,-412.83,1083.9,4343.1,-724.73,1080.4,4612.5,-349.46,1078.2,4441.4,-687.81,1116.3,4299.6,-474.86,920.25,4300.9,-744.97,925.41,4254.6,-409.07,852.3,4369.4,-727.88,799.83,4687.5,-297.81,882.36,4548,-741.41,916.22,4421.6,-825.1,972.28,-44,-0.10804,-1.0398,-2.6683,-10.796,-68.478,4409.7,-828.78,575.49
0,4285.9,-412.83,1083.9,4343.1,-724.73,1080.4,4612.5,-349.46,1078.2,4441.4,-687.81,1116.3,4299.6,-474.86,920.25,4300.9,-744.97,925.41,4254.6,-409.07,852.3,4369.4,-727.88,799.83,4687.5,-297.81,882.36,4548,-741.41,916.22,4421.6,-825.1,972.28,-43,-0.10395,-1.0502,-2.6728,-10.882,-67.928,4410,-828.97,576.49
0,4285.9,-412.83,1083.9,4343.1,-724.73,1080.4,4612.5,-349.46,1078.2,4441.4,-687.81,1116.3,4299.6,-474.86,920.25,4300.9,-744.97,925.41,4254.6,-409.07,852.3,4369.4,-727.88,799.83,4687.5,-297.81,882.36,4548,-741.41,916.22,4421.6,-825.1,972.28,-42,-0.099727,-1.0605,-2.6772,-10.967,-67.38,4410.3,-829.16,577.49
0,4285.9,-412.83,1083.9,4343.1,-724.73,1080.4,4612.5,-349.46,1078.2,4441.4,-687.81,1116.3,4299.6,-474.86,920.25,4300.9,-744.97,925.41,4254.6,-409.07,852.3,4369.4,-727.88,799.83,4687.5,-297.81,882.36,4548,-741.41,916.22,4421.6,-825.1,972.28,-41,-0.09537,-1.0707,-2.6815,-11.05,-66.835,4410.5,-829.34,578.49
0,4285.9,-412.83,1083.9,4343.1,-724.73,1080.4,4612.5,-349.46,1078.2,4441.4,-687.81,1116.3,4299.6,-474.86,920.25,4300.9,-744.97,925.41,4254.6,-409.07,852.3,4369.4,-727.88,799.83,4687.5,-297.81,882.36,4548,-741.41,916.22,4421.6,-825.1,972.28,-40,-0.090881,-1.0808,-2.6858,-11.132,-66.293,4410.8,-829.52,579.49
0,4285.9,-412.83,1083.9,4343.1,-724.73,1080.4,4612.5,-349.46,1078.2,4441.4,-687.81,1116.3,4299.6,-474.86,920.25,4300.9,-744.97,925.41,4254.6,-409.07,852.3,4369.4,-727.88,799.83,4687.5,-297.81,882.36,4548,-741.41,916.22,4421.6,-825.1,972.28,-39,-0.086259,-1.0909,-2.69,-11.213,-65.753,4411.1,-829.7,580.49
0,4285.9,-412.83,1083.9,4343.1,-724.73,1080.4,4612.5,-349.46,1078.2,4441.4,-687.81,1116.3,4299.6,-474.86,920.25,4300.9,-744.97,925.41,4254.6,-409.07,852.3,4369.4,-727.88,799.83,4687.5,-297.81,882.36,4548,-741.41,916.22,4421.6,-825.1,972.28,-38,-0.081505,-1.1008,-2.6942,-11.292,-65.215,4411.3,-829.87,581.49
